dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/short,FLAIR,1983142.28456,2026405.322288,191.769633,0.998972,2.388648,0.735577,21.204747,1408.240847,4.421528,0.602109,0.52346,Web/CloudOps,2.0
bitbrains_fast_storage/5T/medium,FLAIR,2811745.610997,2834128.64453,284.903869,1.245392,4.275917,0.805257,26.371961,1676.826053,5.09466,0.865617,0.71703,Web/CloudOps,2.0
bitbrains_fast_storage/5T/long,FLAIR,3355125.937332,3401925.376397,349.300877,1.286233,3.812934,0.823093,24.559604,1831.700286,4.840637,0.923098,0.832985,Web/CloudOps,2.0
bitbrains_fast_storage/H/short,FLAIR,3583663.552552,3983508.553302,393.973922,3.638922,5.064211,0.616931,118.270913,1893.056669,5.395826,1.122954,0.839791,Web/CloudOps,2.0
bitbrains_rnd/5T/short,FLAIR,1737888.868678,1884548.882022,153.472486,1.988939,1.326041,0.699176,60.312365,1318.290131,5.394062,0.627965,0.558835,Web/CloudOps,2.0
bitbrains_rnd/5T/medium,FLAIR,2079259.753199,2196581.997261,160.761434,5.106254,0.924252,0.77117,179.612962,1441.963853,6.067077,0.676405,0.649242,Web/CloudOps,2.0
bitbrains_rnd/5T/long,FLAIR,2182473.644873,2355386.6648,180.019994,4.235901,1.237682,0.764127,143.120729,1477.31975,5.659279,0.689616,0.647091,Web/CloudOps,2.0
bitbrains_rnd/H/short,FLAIR,1943385.568339,1885372.007886,194.708326,6.67973,3.449124,0.682045,221.632851,1394.053646,6.101061,0.852139,0.793412,Web/CloudOps,2.0
bizitobs_application/10S/short,FLAIR,3053149.36071,2954232.202196,923.835439,2.577585,0.036569,0.037557,56.628706,1747.326346,0.067387,0.035629,0.0309,Web/CloudOps,2.0
bizitobs_application/10S/medium,FLAIR,5214151.735438,5037355.291129,1265.815251,2.699271,0.038378,0.039313,50.919736,2283.451715,0.089664,0.049705,0.045335,Web/CloudOps,2.0
