dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[mean],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,FlowState-r1.1,41.18631665492575,41.18631665492575,3.5313914894442564,3.5313914894442564,0.5585164871955189,0.0924224082715002,0.07574458536840936,7.1386863681154065,6.417656632675649,0.1100486425372225,0.06055556754191994,0.04832590599299439,Transport,1
loop_seattle/5T/medium,FlowState-r1.1,63.29747640981763,63.29747640981763,4.61263058279567,4.61263058279567,0.7340415633852784,0.14249896623770889,0.10689076798619132,9.918247739475596,7.95597111670333,0.14155307452772617,0.0820681763517885,0.06564512744241545,Transport,1
loop_seattle/5T/long,FlowState-r1.1,74.92596474207373,74.92596474207373,4.954258121560027,4.954258121560027,0.7847423188554609,0.1481291061382121,0.11335350154723177,11.117572501835635,8.655978554852926,0.15303948074296336,0.08759230231284211,0.07047262089836084,Transport,1
loop_seattle/D/short,FlowState-r1.1,19.202562320736785,19.202562320736785,2.928832532254781,2.928832532254781,0.8852385524728139,0.05418352716601424,0.05413354100088586,17.37128648415423,4.382072833801007,0.07831349537191128,0.052342149858993804,0.04399730354473092,Transport,1
loop_seattle/H/short,FlowState-r1.1,59.50151512374327,59.50151512374327,4.101224705045146,4.101224705045146,0.8354556467000297,0.1093292313444123,0.09460305469932616,11.792800639073072,7.71372252053075,0.13654073297773034,0.07259584796352124,0.05860784400416869,Transport,1
loop_seattle/H/medium,FlowState-r1.1,70.48822588374371,70.48822588374371,4.540771216676946,4.540771216676946,0.9338664808678643,0.11269175054119099,0.10353630782403936,12.937869517595587,8.395726644177007,0.14839353117576465,0.0802576243440828,0.06472378046382879,Transport,1
loop_seattle/H/long,FlowState-r1.1,58.680955620323786,58.680955620323786,4.1843423114431495,4.1843423114431495,0.881609157316706,0.12109606066724464,0.09702981696901429,11.126577538744572,7.660349575595346,0.13690067899513877,0.07477978621362534,0.0598261300450432,Transport,1
m_dense/D/short,FlowState-r1.1,9165.257708333333,9165.257708333333,46.75142975983796,46.75142975983796,0.7080525556385575,0.13111976414278226,0.10177948704472295,12.484336659406704,95.73535244795066,0.16573205620105474,0.08093364035662448,0.06745370604949491,Transport,1
m_dense/H/short,FlowState-r1.1,45357.06244249132,45357.06244249132,88.8164010281033,88.8164010281033,0.7908603854810199,0.29801525639719595,0.2108831982369297,15.716386667864725,212.97197572096502,0.37775925324817894,0.15753817944820003,0.13254244564706233,Transport,1
m_dense/H/medium,FlowState-r1.1,37333.612291666665,37333.612291666665,80.65108723958333,80.65108723958333,0.7013222843424145,0.26109505457277044,0.19177552964952257,12.237213634057158,193.21907848777943,0.3361767973557966,0.14032270738306465,0.116484184339851,Transport,1
m_dense/H/long,FlowState-r1.1,33911.18148148148,33911.18148148148,79.69908950617284,79.69908950617284,0.6990924490177047,0.25759383242079864,0.19106638025354455,11.008171994373534,184.14988862739364,0.3187907050673161,0.137970916660747,0.11356870870963892,Transport,1
sz_taxi/15T/short,FlowState-r1.1,16.620113698845234,16.620113698845234,2.7355782388913035,2.7355782388913035,0.5464031171222989,1087704810534.7782,0.39686791465978194,7.590175889379568,4.0767773668481375,0.38119613414755593,0.2557882747788491,0.20405979696838894,Transport,1
sz_taxi/15T/medium,FlowState-r1.1,16.319562237079328,16.319562237079328,2.7636555859166334,2.7636555859166334,0.5385217982835804,9333318291956.139,0.40757947742429557,7.388613518681938,4.039747793746452,0.3759659580219572,0.25720427933900225,0.20562579105609002,Transport,1
sz_taxi/15T/long,FlowState-r1.1,15.67457285823985,15.67457285823985,2.735411571709179,2.735411571709179,0.5158517998320638,5970907624088.145,0.4060595259707198,6.402822780595488,3.9591126352049963,0.36644839656489564,0.253184811031775,0.20062083656449903,Transport,1
sz_taxi/H/short,FlowState-r1.1,7.432201711540548,7.432201711540548,1.900836227286575,1.900836227286575,0.5801890213933354,1.3546589297107143,0.30318191723945814,7.291773597003335,2.7262064689858962,0.2539629568572672,0.1770746252255366,0.14077263642438345,Transport,1
bitbrains_fast_storage/5T/short,FlowState-r1.1,1976861.612706536,1976861.612706536,167.4826576990746,167.4826576990746,0.7519912197587632,2.2339818168864483,0.6668860623658195,16.873362129733305,1406.0091083298628,4.414520862588936,0.5258541229598823,0.4061369341649599,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,FlowState-r1.1,3028042.7402493255,3028042.7402493255,293.7332585337577,293.7332585337577,1.045613905514075,4.431932811361121,0.7435921984303433,25.177973240934428,1740.1272195587671,5.2869871149162195,0.8924427683420221,0.6566134834043376,Web/CloudOps,2
bitbrains_fast_storage/5T/long,FlowState-r1.1,4617118.666467717,4617118.666467717,404.63246794619585,404.63246794619585,0.9590761896289091,4.779574306200461,0.7558024375698824,20.584272408017313,2148.7481626444073,5.678499841220382,1.0693228014945033,0.7406708163367473,Web/CloudOps,2
bitbrains_fast_storage/H/short,FlowState-r1.1,3312387.107490891,3312387.107490891,342.97028445108265,342.97028445108265,1.0820700147909392,3.969181289200646,0.484934175936071,23.128998802987564,1819.9964580984467,5.187581059423924,0.9775767110132656,0.6996050717085824,Web/CloudOps,2
bitbrains_rnd/5T/short,FlowState-r1.1,1681179.2138263306,1681179.2138263306,125.49460379907278,125.49460379907278,1.7681451504562586,1.1160088371764871,0.575984034574635,58.96794258096454,1296.602951495303,5.305324992517941,0.5134876927385813,0.422501174777909,Web/CloudOps,2
bitbrains_rnd/5T/medium,FlowState-r1.1,2285917.636175524,2285917.636175524,150.01609405881368,150.01609405881368,4.475115798948466,0.5603419467449297,0.6458122348889342,166.03007290649845,1511.9251423848748,6.361439808223015,0.6311941814225975,0.6231177815796237,Web/CloudOps,2
bitbrains_rnd/5T/long,FlowState-r1.1,2351187.6310941125,2351187.6310941125,178.95946986407603,178.95946986407603,3.4129345721695743,1.8509179005254237,0.6165357994238756,121.92821155502831,1533.3582852986815,5.87395018000862,0.6855534158590824,0.627068224219766,Web/CloudOps,2
bitbrains_rnd/H/short,FlowState-r1.1,1966932.091537609,1966932.091537609,158.2553058756134,158.2553058756134,5.868490186601384,1.5189840510272619,0.4709583415088658,220.67158925254097,1402.473561796303,6.137910603446953,0.6926026603607015,0.6419735300133448,Web/CloudOps,2
bizitobs_application/10S/short,FlowState-r1.1,500666.25333333336,500666.25333333336,372.10096571180554,372.10096571180554,1.1823625169483314,0.016823274824354383,0.01695952468448215,20.97155737936136,707.577736600957,0.027288446639498865,0.014350447762970033,0.011755689383340543,Web/CloudOps,2
