dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_fast_storage/5T/long,Granite-PatchTST-FM-r1,3560241.911086835,3560241.911086835,330.3868431509289,0.8835260186384448,3.197770993630356,0.8318481264292397,15.440296969627102,1886.8603316321096,4.9864085182291085,0.8731137866328444,0.655179639612732,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,Granite-PatchTST-FM-r1,2864790.2500490574,2864790.2500490574,250.51094820457672,0.9833245733486772,2.4101741209596725,0.8192538448108175,20.647428446914976,1692.5691271109306,5.142492774059587,0.7611214929601039,0.5900655532810936,Web/CloudOps,2
bitbrains_fast_storage/5T/short,Granite-PatchTST-FM-r1,1690064.7653183923,1690064.7653183923,157.64045200789258,0.7333684488586926,1.5585825129129298,0.7530395322444554,14.264675983559377,1300.024909499196,4.081756749698011,0.4949520384625052,0.3768071796512747,Web/CloudOps,2
bitbrains_fast_storage/H/short,Granite-PatchTST-FM-r1,2832920.457411168,2832920.457411168,294.93454232321415,1.1892983194717002,3.05796086826526,0.5809643436078195,21.79707498580622,1683.1281761681637,4.797461914676581,0.8406592285439941,0.6342816013834021,Web/CloudOps,2
bitbrains_rnd/5T/long,Granite-PatchTST-FM-r1,2951950.9541333546,2951950.9541333546,218.38087151754831,3.3229869039654143,3.0497967958344185,0.7304561066133104,114.93912797891832,1718.124254567566,6.581747218177688,0.8365679547289803,0.6949354567739926,Web/CloudOps,2
bitbrains_rnd/5T/medium,Granite-PatchTST-FM-r1,2465016.8314685137,2465016.8314685137,160.9891727007411,4.386970607331847,0.9643846934118298,0.752701340702562,159.0422563748133,1570.037207033169,6.605946011728172,0.677363427165845,0.6387112853902226,Web/CloudOps,2
bitbrains_rnd/5T/short,Granite-PatchTST-FM-r1,1586002.2058809646,1586002.2058809646,120.28101205190684,1.6628450304097355,1.1000200726745368,0.6984842677887679,52.5695216925217,1259.3657951052048,5.152961254376889,0.4921551761606629,0.3947585807419383,Web/CloudOps,2
bitbrains_rnd/H/short,Granite-PatchTST-FM-r1,1857786.7078129663,1857786.7078129663,153.0405726524871,5.783279698051841,1.5838947137455075,0.5631753645011934,193.9183338835672,1363.0064958806934,5.965183562889221,0.6697804531385586,0.5866811869518448,Web/CloudOps,2
bizitobs_application/10S/long,Granite-PatchTST-FM-r1,3739765.4755555554,3739765.4755555554,1194.3565277777775,2.8141896501849737,0.0400035858154296,0.0406939866807725,35.77763044814646,1933.8473247791708,0.0745807615080632,0.0460615572969105,0.0385763341730791,Web/CloudOps,2
bizitobs_application/10S/medium,Granite-PatchTST-FM-r1,2980090.6666666665,2980090.6666666665,972.0909375,2.1815994191328287,0.0312965234120686,0.0318047841389973,23.685191556868656,1726.2939108583644,0.0677864810928479,0.0381711500810472,0.031389051072567,Web/CloudOps,2
bizitobs_application/10S/short,Granite-PatchTST-FM-r1,390921.5288888889,390921.5288888889,342.4424652777778,1.0330746183122967,0.0149882952372233,0.0150943660736083,7.907045051580357,625.237178108347,0.0241128988152143,0.0132066371041114,0.0104364307084782,Web/CloudOps,2
bizitobs_l2c/5T/long,Granite-PatchTST-FM-r1,143.02444444444444,143.02444444444444,8.021969246031746,0.8020580458368616,0.6505114606658532,0.8541219463045635,4.6966925290890655,11.95928277299456,0.6714958485437813,0.4504215802991161,0.3395052383335766,Web/CloudOps,7
bizitobs_l2c/5T/medium,Granite-PatchTST-FM-r1,91.40143494897958,91.40143494897958,6.330571056547619,0.6397992289605405,0.4268889225162263,0.7167942176870749,4.358261035637123,9.560409768884364,0.5030181457575778,0.3330811326534564,0.2570901289892507,Web/CloudOps,7
bizitobs_l2c/5T/short,Granite-PatchTST-FM-r1,21.17513485863095,21.17513485863095,2.697712634858631,0.27508879758439,0.1468369658979901,0.2075271606445312,3.072308120042426,4.601644799268078,0.158039108459347,0.09265037139772,0.0744579968392201,Web/CloudOps,7
bizitobs_l2c/H/long,Granite-PatchTST-FM-r1,87.99270833333334,87.99270833333334,5.283280629960317,0.5604280735871783,0.58333244462591,0.7765326121496776,4.646736646748616,9.380442864456525,0.5729845237863355,0.3227180293648931,0.2640906197769966,Web/CloudOps,7
bizitobs_l2c/H/medium,Granite-PatchTST-FM-r1,81.18707217261905,81.18707217261905,5.079536365327381,0.5133178873831814,0.505432298650427,0.7722488403320312,4.079640908887259,9.010386904712751,0.5455926130721421,0.3075736422932536,0.2490579016445379,Web/CloudOps,7
bizitobs_l2c/H/short,Granite-PatchTST-FM-r1,66.49545820932539,66.49545820932539,4.962561228918651,0.4926453726385679,0.4100937877627585,0.6294116065615699,3.1085738749910985,8.154474735341656,0.4395470722056446,0.2674947595776747,0.206441463964781,Web/CloudOps,7
bizitobs_service/10S/long,Granite-PatchTST-FM-r1,120780.36656084657,120780.36656084657,70.96888227513227,1.2479301866344925,0.0978730572089947,0.098556560536541,11.926088452159098,347.5346983552097,0.2574648149465814,0.0525760168075567,0.0449459898779979,Web/CloudOps,2
bizitobs_service/10S/medium,Granite-PatchTST-FM-r1,25411.3853968254,25411.3853968254,39.39496527777778,1.0288784916062734,0.0895549180772569,0.0859443785652281,8.87982620222163,159.40948966992335,0.1199753384277009,0.0296495792147352,0.0238714811508857,Web/CloudOps,2
bizitobs_service/10S/short,Granite-PatchTST-FM-r1,2463.506878306878,2463.506878306878,19.23072255291005,0.7309067102604315,0.088355396412037,0.077605652178406,5.943472131845511,49.63372722561624,0.0367702518791123,0.0142467340579427,0.0112838944570345,Web/CloudOps,2
car_parts/M/short,Granite-PatchTST-FM-r1,26.4610474557219,26.4610474557219,0.6837069816888368,1.876759252700665,0.8541359817272098,1.908326833295968,24.32957864258123,5.144030273600837,12.33485691920787,1.6394592071270708,1.4383714554290363,Sales,1
covid_deaths/D/short,Granite-PatchTST-FM-r1,380890.01704260655,380890.01704260655,119.496757518797,32.37175180743203,0.0902342940071487,0.3630837959155701,520.857468214823,617.1628772395554,0.232210536021342,0.0449612365545464,0.035977096966817,Healthcare,1
electricity/15T/long,Granite-PatchTST-FM-r1,329434.623975976,329434.623975976,59.168566722972976,0.8857615710620902,0.1300065319187137,0.1321669115404466,7.375683737674041,573.9639570356104,0.9054984840651322,0.0933456653770936,0.0744486372424997,Energy,1
electricity/15T/medium,Granite-PatchTST-FM-r1,273030.62342342344,273030.62342342344,54.55219833896396,0.8397576402370122,0.1252744205018101,0.1303305823523719,7.287509686343032,522.5233233296132,0.9003603032990526,0.0939989310508085,0.0758314699271581,Energy,1
electricity/15T/short,Granite-PatchTST-FM-r1,146451.70876126125,146451.70876126125,54.06206239442567,1.031365868917758,0.1729898139890589,0.1710955150707348,11.071261990972364,382.6900949348719,0.7543576107560772,0.1065669813778311,0.0883694283128147,Energy,1
electricity/D/short,Granite-PatchTST-FM-r1,1559566856.59791,1559566856.59791,4476.371603603604,1.4504649323007712,0.3146180595621108,0.0971008146818693,12.020056552678527,39491.35166840849,0.6489740590631771,0.0735616515195071,0.0578184976187207,Energy,1
electricity/H/long,Granite-PatchTST-FM-r1,5786424.070918919,5786424.070918919,245.4288168168168,1.1191279175005069,0.2771379289769037,0.1355321004598348,9.52712796501222,2405.4987156344355,0.9487279819629136,0.0967970527611579,0.0765718702153733,Energy,1
electricity/H/medium,Granite-PatchTST-FM-r1,5192548.627027027,5192548.627027027,235.82394988738736,1.0436214104333954,0.2199524193892879,0.1270903908669411,8.773832351807384,2278.7164428745905,0.8894581210993733,0.0920498590480449,0.0732556555318954,Energy,1
electricity/H/short,Granite-PatchTST-FM-r1,1843707.3834234236,1843707.3834234236,180.9339907094595,0.9625130794110324,0.1576397468994951,0.1292154934170009,10.570119684131894,1357.8318686138662,0.6409936100265168,0.0854137648129849,0.0696319143975002,Energy,1
electricity/W/short,Granite-PatchTST-FM-r1,36726996224.46126,36726996224.46126,26507.044144144144,1.5222598920330002,0.2493074548179805,0.1001737749254381,11.968112826560269,191642.88722637543,0.4372658262906267,0.0604803273837136,0.0484658611020912,Energy,1
ett1/15T/long,Granite-PatchTST-FM-r1,9.291839037698413,9.291839037698413,1.5923480902777778,1.006992137595089,0.7523337783802859,0.3936470346602183,7.255476983369256,3.048251800245251,0.5809998070632441,0.3035031204293816,0.2338483399922018,Energy,7
ett1/15T/medium,Granite-PatchTST-FM-r1,10.24916728670635,10.24916728670635,1.6263766431051587,1.011379228470316,0.6833244230750114,0.4038027808779761,6.831795281749721,3.201432068107388,0.6101961175736281,0.3099889962437612,0.2376469028180295,Energy,7
ett1/15T/short,Granite-PatchTST-FM-r1,5.136346726190476,5.136346726190476,1.0981990269252233,0.6928476742686431,0.5082904209048354,0.2319919949486142,4.734854715419407,2.2663509715378325,0.4284346708349145,0.20760532879542,0.1603141513930065,Energy,7
ett1/D/short,Granite-PatchTST-FM-r1,50289.03492063492,50289.03492063492,151.08561507936508,1.771473723433422,1.5291763547867063,0.4848894391741071,10.490174075618324,224.25216815146945,0.5890057581702475,0.396831379567005,0.2989924023511341,Energy,7
ett1/H/long,Granite-PatchTST-FM-r1,168.01669973544975,168.01669973544975,7.836313140707672,1.4602118968603444,3107483977147.2886,0.5058860819175761,9.076850798328705,12.96212558708832,0.6207281203507274,0.3752640640325587,0.2850414625166165,Energy,7
ett1/H/medium,Granite-PatchTST-FM-r1,146.11673177083333,146.11673177083333,7.241581798735119,1.3000336751521957,3393483094790.0005,0.4607075645810082,8.637312385097207,12.087875403512122,0.5789805776206538,0.3468546020503054,0.2633321682206374,Energy,7
ett1/H/short,Granite-PatchTST-FM-r1,95.15452008928573,95.15452008928573,4.818414597284226,0.8088845147551476,0.4212641034807478,0.2609306880405971,5.648773862874824,9.754717837502309,0.4552925896798463,0.2248951222058543,0.175970671403293,Energy,7
ett1/W/short,Granite-PatchTST-FM-r1,1524946.5714285714,1524946.5714285714,967.9596819196428,1.6094378042651256,0.7341563361031669,0.5544040203094482,8.65047715163096,1234.8872707371193,0.4913911190056428,0.3851742604544947,0.2775505333337409,Energy,7
ett2/15T/long,Granite-PatchTST-FM-r1,11.837507440476193,11.837507440476193,2.1687709263392856,0.9149746233727708,0.1408953510909379,0.1753431532118055,7.652566824894373,3.440567895053982,0.1833540910069694,0.1155777284246976,0.0942035780099884,Energy,7
ett2/15T/medium,Granite-PatchTST-FM-r1,11.86523685515873,11.86523685515873,2.123739304315476,0.8910729126134934,0.1369941394834891,0.1704220920138889,7.145450057863805,3.4445953107961365,0.18356871928202,0.1131779117739015,0.0910012727531562,Energy,7
ett2/15T/short,Granite-PatchTST-FM-r1,7.900158110119047,7.900158110119047,1.748869105747768,0.7569587196472788,0.107751687559489,0.1281962258475167,5.2642382475802,2.8107219908982546,0.1334349719274312,0.083025037974541,0.0656665645916505,Energy,7
ett2/D/short,Granite-PatchTST-FM-r1,104998.3365079365,104998.3365079365,193.625496031746,1.2782534440565,0.4280349489242311,0.1327717614552331,12.398217765109216,324.0344680862462,0.1854534754468212,0.1108169800153619,0.0916184272663594,Energy,7
ett2/H/long,Granite-PatchTST-FM-r1,219.33330026455027,219.33330026455027,9.038329819775132,1.0044719456946245,0.1789282378303983,0.1679141412967096,8.596149250513434,14.809905477907355,0.2028102569748672,0.1237729704694383,0.099605908353893,Energy,7
ett2/H/medium,Granite-PatchTST-FM-r1,221.83154761904763,221.83154761904763,9.287344215029762,1.011140085970306,0.1723698464376925,0.1648891993931361,7.701020435605725,14.894010461223925,0.2007063689447082,0.1251529357650987,0.0980075242732892,Energy,7
