dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,LongSeer-v1.0,46.0242304907889,46.02331518960391,3.589270943508967,0.5687626614343698,0.09884109298061186,0.07643756997305023,4.497018896993891,6.78411604343476,0.11633261285092873,0.06154807264719392,0.048856053338145494,Transport,1
loop_seattle/5T/medium,LongSeer-v1.0,76.76476550602929,76.76478494045722,5.019541802913666,0.7969993449931385,0.16136170103256034,0.11388027800100095,6.010984602961737,8.761550405380847,0.1558859874059524,0.08930796423793884,0.07079612386501875,Transport,1
loop_seattle/5T/long,LongSeer-v1.0,96.47652557221839,96.47503596459175,5.647234629052602,0.8916623353048918,0.17664159158721868,0.12617891124127512,8.996797183285276,9.822246462608154,0.1736593271001622,0.09984426367138824,0.08144384797622839,Transport,1
loop_seattle/D/short,LongSeer-v1.0,18.12208853757326,18.12384730747723,2.8602431629956446,0.864970901763362,0.05304606637176444,0.0527865281145386,8.173707913641033,4.257004643828012,0.07607836426538289,0.051116369242735785,0.04201349592297479,Transport,1
loop_seattle/H/short,LongSeer-v1.0,52.8556305403572,52.854997138571356,3.8521136690703486,0.78843415312391,0.1071639130549121,0.08879508830578732,7.173488451758402,7.270187792647257,0.12868971804811358,0.06818632972085041,0.055437729637307386,Transport,1
loop_seattle/H/medium,LongSeer-v1.0,58.71657652813255,58.71541905387657,4.128539975997834,0.8543206210287033,0.11178719868562535,0.09415711073365285,7.394763948661772,7.662674241290214,0.13543690575803125,0.07297147993509565,0.05915929237524131,Transport,1
loop_seattle/H/long,LongSeer-v1.0,56.68521123218334,56.68494527713816,4.046970633265896,0.8510943492871715,0.12022873356767966,0.0939135038044772,10.139530173698274,7.528958177077579,0.1345525650511663,0.0723247847292509,0.06031364274351593,Transport,1
m_dense/D/short,LongSeer-v1.0,7532.877058272768,7532.080180712247,41.26080985740379,0.6283250243481306,0.11413978652035932,0.0915861894426376,7.175165060626899,86.79214859808903,0.15025004746380605,0.07142856513643785,0.059421949509734374,Transport,1
m_dense/H/short,LongSeer-v1.0,44625.319467573754,44623.16956457004,87.6365440881749,0.7879919208198808,0.2925730907443508,0.20884869766570574,9.413387131352389,211.24705789092957,0.3746996413056291,0.1554453915853284,0.12966772302270893,Transport,1
m_dense/H/medium,LongSeer-v1.0,37372.48219818137,37372.223928933236,80.43756175801158,0.6907086542694718,0.26285078774290366,0.19041971160772073,8.172997042123356,193.31963738374168,0.3363517457065754,0.13995119525277486,0.11615981456939724,Transport,1
m_dense/H/long,LongSeer-v1.0,35518.25006984655,35518.87839758105,80.62103838248753,0.6891598376130174,0.2629022584965644,0.19026444536571543,9.334471140977001,188.46286124816888,0.32625707269745163,0.1395669353966939,0.11733937538692515,Transport,1
sz_taxi/15T/short,LongSeer-v1.0,16.795344794515753,16.79543114838596,2.740441331707967,0.5467604402347875,991745256287.852,0.39519995149543047,3.9391596828269804,4.098212390117886,0.3832003858044493,0.2562429848968234,0.20170643314588096,Transport,1
sz_taxi/15T/medium,LongSeer-v1.0,16.389281421003933,16.389360761759487,2.7532134643961426,0.5361790841993602,9775272913335.678,0.40567249616802936,3.780174055060321,4.048367747747718,0.3767681922723905,0.25623246813426176,0.20183847240878053,Transport,1
sz_taxi/15T/long,LongSeer-v1.0,15.682106405261367,15.68212897428238,2.699100493022098,0.5085591288177516,6100660675101.114,0.39836143570406646,7.356102270297045,3.9600639395420583,0.3665364641140068,0.24982393367999434,0.21055028181655566,Transport,1
sz_taxi/H/short,LongSeer-v1.0,7.117017849618273,7.117036295365579,1.8381334192224916,0.5597655569841422,1.0724209624494827,0.2951989014991285,4.054685375738937,2.6677739502473354,0.24851960599921666,0.17123347091563526,0.1353149693253083,Transport,1
bitbrains_fast_storage/5T/short,LongSeer-v1.0,1687411.6621886154,1687412.4785833326,153.2286464912964,0.6733190171575073,2.0886408773694622,0.6214190151461394,14.054942930012436,1299.0041039922144,4.078551587485608,0.4811000500111534,0.3894354226155039,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,LongSeer-v1.0,3779159.714364199,3780013.2875551553,307.5101835428412,0.9636380446946546,5.144975642700141,0.6916805934785569,21.378652848440748,1944.0060993639395,5.906427722489297,0.9343009127489266,0.6661207395165849,Web/CloudOps,2
bitbrains_fast_storage/5T/long,LongSeer-v1.0,5730425.300971117,5730943.960914614,436.1294247746676,0.8879072696257402,6.5135449589618215,0.7006954889089089,20.16689085846449,2393.830675083582,6.326179009876596,1.152559719998877,0.8761475254071986,Web/CloudOps,2
bitbrains_fast_storage/H/short,LongSeer-v1.0,2972559.498755461,2972707.28411875,315.8323694781101,1.0225891613791231,3.520140230734581,0.554810631308017,21.22801767755407,1724.1112199494153,4.914277259160498,0.9002248886696476,0.6686107367124238,Web/CloudOps,2
bitbrains_rnd/5T/short,LongSeer-v1.0,1921346.747955039,1921356.4769140088,130.42642839417718,1.632282502197274,0.8407460220212226,0.6058548065863313,53.2011491404533,1386.1265266760604,5.67162957211258,0.5336672908492105,0.43750091113871936,Web/CloudOps,2
bitbrains_rnd/5T/medium,LongSeer-v1.0,2261146.6964819273,2261014.3603241513,146.93415619603482,4.354417707735,0.4273876738779071,0.6553167402108951,161.28734912470875,1503.710975048705,6.326878685676465,0.618226904278888,0.5925082920391348,Web/CloudOps,2
bitbrains_rnd/5T/long,LongSeer-v1.0,2515843.408901862,2515793.790357852,177.8868631120994,3.284983631166077,2.01272384399748,0.6381245369493597,119.40820993778838,1586.1410431931524,6.0761489834867355,0.6814444951870552,0.645007141806014,Web/CloudOps,2
bitbrains_rnd/H/short,LongSeer-v1.0,1920377.2713749395,1920225.5264966632,153.27557900605962,5.839488109354878,1.4276834619984835,0.5432500488758396,207.49640353538877,1385.776775449401,6.064837451418844,0.6708089559679596,0.6195705481378445,Web/CloudOps,2
bizitobs_application/10S/short,LongSeer-v1.0,294645.3603897539,294700.01270279195,297.1104173130459,1.0949135427021237,0.01463347217337955,0.014839935933547418,12.02613191699986,542.812454158666,0.020934106673512535,0.011458361211485904,0.009082270608996738,Web/CloudOps,2
bizitobs_application/10S/medium,LongSeer-v1.0,2017959.6389235337,2018209.6985455612,796.3624589904149,1.8526373007223234,0.025688313190954794,0.026205765434006503,19.91774190099144,1420.5490624837755,0.05578078075803387,0.03127080992979109,0.025451630635652263,Web/CloudOps,2
bizitobs_application/10S/long,LongSeer-v1.0,5765426.426879411,5765844.4118995145,1456.2653928438822,3.2338613622599306,0.046365004001185116,0.047363460514149434,83.00918786780666,2401.130239466283,0.09260199574435533,0.05616233534285751,0.05280172878775413,Web/CloudOps,2
bizitobs_l2c/5T/short,LongSeer-v1.0,20.373347919607074,20.3718268460857,2.6357839961846667,0.27568265123316266,0.14558654370899374,0.20853834101907465,3.0265283488620573,4.513684517066636,0.1550181963321965,0.0905234912774441,0.07329864848066826,Web/CloudOps,7
bizitobs_l2c/5T/medium,LongSeer-v1.0,73.8943518198645,73.89864605467528,5.324644300630506,0.5179756021851551,0.3841201751622641,0.6392097887452,2.8957063895534088,8.59618239801044,0.4522856064720462,0.28015459249863955,0.21595839758730156,Web/CloudOps,7
bizitobs_l2c/5T/long,LongSeer-v1.0,67.63723875295415,67.63970367099189,4.932597449533642,0.48942273388896274,0.4012803019771939,0.7168111241472357,2.8031510601628336,8.224186206121196,0.46177576029324036,0.27695797254488,0.21433801172576367,Web/CloudOps,7
bizitobs_l2c/H/short,LongSeer-v1.0,54.116549400230234,54.12009355836604,4.411082185764191,0.4309511446411313,0.3957468755913899,0.6004868110906503,2.5785752355101663,7.356395136221969,0.39652857931050906,0.23776865162265695,0.1837548805493375,Web/CloudOps,7
bizitobs_l2c/H/medium,LongSeer-v1.0,67.61802284697572,67.62023351064259,4.6311540039455785,0.47665571905829845,0.4865380507573607,0.7658251641551905,3.4897544214599314,8.223017867363279,0.4979162219157413,0.2804234092578883,0.22538355768412913,Web/CloudOps,7
bizitobs_l2c/H/long,LongSeer-v1.0,78.61762810578328,78.61928286137275,5.242010739232812,0.5602501865621412,0.6854595668360703,0.7954020169295813,7.660521771603889,8.866658226512584,0.5416010752269373,0.3201971453270174,0.27195844174335904,Web/CloudOps,7
bizitobs_service/10S/short,LongSeer-v1.0,2721.8304579236465,2722.560884663934,19.679846909374156,0.796852433888931,0.05781059918879464,0.04762787932178004,7.9354254871069205,52.171165004470105,0.03865006690553408,0.014579459739356168,0.011397359598317072,Web/CloudOps,2
bizitobs_service/10S/medium,LongSeer-v1.0,31284.3025058498,31293.50695432949,38.19413134131167,0.9754570600352084,0.06498881326014079,0.05878980570923786,12.251047407811283,176.8736908244123,0.13311929185941515,0.02874579986227749,0.024212881114902468,Web/CloudOps,2
bizitobs_service/10S/long,LongSeer-v1.0,130717.16565940694,130717.62367605438,74.75126437710549,1.3325479154291813,0.08133747710412294,0.07894631544510854,27.026752542396128,361.5482895263189,0.2678465312893882,0.0553781263884149,0.05252153683715446,Web/CloudOps,2
car_parts/M/short,LongSeer-v1.0,1.3360928045544718,1.3360617402631685,0.4629782559240631,0.837717297915629,0.7844164724537002,1.8713051865202925,15.917245444361356,1.155894806872352,2.7717171746824447,1.1101743651928713,0.9556762484689177,Sales,1
covid_deaths/D/short,LongSeer-v1.0,167543.70304721053,167790.32367988015,73.81103625976881,31.813697271566046,0.08340436391978567,0.12132637437225427,596.258123304896,409.3210268813594,0.15400902834930708,0.027771761598549216,0.025537640777597688,Healthcare,1
electricity/15T/short,LongSeer-v1.0,146092.66529746004,146088.59960042423,53.97579573374678,1.0281227612745885,0.16312359495507064,0.16509750170479157,11.62478038079838,382.22070234023175,0.7534323485640142,0.1063969332280927,0.08922847337054249,Energy,1
electricity/15T/medium,LongSeer-v1.0,259864.43488162008,259845.99877208995,54.80682300000849,0.8523834184113196,0.13499725781493685,0.12823074303276452,7.3292980481471295,509.76900149147957,0.8783833403302456,0.0944376769061754,0.07620556163631009,Energy,1
