dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[mean],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates,horizon,ttm_context_len,available_context_len,finetune_success,finetune_train_num_samples,finetune_valid_num_samples,insample_error
m_dense/D/short,TTM-R3-FT,10631.971573991395,10631.971573991395,56.39072314968816,56.39072314968816,0.7886813733018818,0.13684119802444408,0.11633417708979069,8.281662594467141,103.11145219611348,0.17850117593320103,0.0976206830527242,0.07762783603975053,Transport,1,30,768,640,True,2796,1000,0
sz_taxi/15T/short,TTM-R3-FT,16.565596601066776,16.565596601066776,2.7255234386754466,2.7255234386754466,0.5438343706074762,1074035442085.2404,0.3955482436413102,4.163061993234888,4.070085576626956,0.38057039253804736,0.25484808744192977,0.20238301575836942,Transport,1,48,2048,2640,True,1156,1000,0
sz_taxi/H/short,TTM-R3-FT,7.281699566337147,7.281699566337147,1.874403840417837,1.874403840417837,0.570276328907444,1.1488517986508737,0.3002660995727754,4.348423875746867,2.6984624448632126,0.25137842864794213,0.17461228447068072,0.13818404117266037,Transport,1,48,768,648,True,1156,1000,0
loop_seattle/D/short,TTM-R3-FT,19.802753438102286,19.802753438102286,3.211701382990346,3.211701382990346,0.9610789132627966,0.06050973030676184,0.05921212145450155,7.65243166023216,4.450028476100157,0.07952796049753974,0.057397399160059044,0.045842203415335264,Transport,1,30,512,305,True,8462,32559,0
loop_seattle/5T/short,TTM-R3-FT,39.20053998316359,39.20053998316359,3.384476952650368,3.384476952650368,0.5368146084990022,0.09190169017165298,0.07190643822301895,5.834377103983986,6.261033459674496,0.10736289095866966,0.05803630221110862,0.04798369472160836,Transport,1,48,2048,104160,True,1323,1000,0
sz_taxi/15T/medium,TTM-R3-FT,16.19081053584167,16.19081053584167,2.7343578239296504,2.7343578239296504,0.5329034873598613,9231540229244.47,0.40487230603791996,3.897439164263356,4.023780627201447,0.3744799503095511,0.2544776360598657,0.2025838095749206,Transport,1,480,2048,2496,True,296,16,0
bitbrains_fast_storage/H/short,TTM-R3-FT,3026408.2018718743,3026408.2018718743,321.4841108614345,321.4841108614345,1.0629671272647747,4.286854882309256,0.6087132720658245,21.138007303590193,1739.6574955639614,4.958588893963257,0.9163341323036603,0.7079384986107425,Web/CloudOps,2,48,768,625,True,11250,1000,0
bitbrains_fast_storage/5T/short,TTM-R3-FT,2009561.2278815934,2009561.2278815934,165.8666164541287,165.8666164541287,0.6774335754577475,1.9530735966845907,0.7380554244796897,14.166808045306194,1417.5899364349316,4.450883600257669,0.5207803639341062,0.42569312713280216,Web/CloudOps,2,48,2048,7776,True,2250,1000,0
bitbrains_rnd/5T/short,TTM-R3-FT,1779114.6726216844,1779114.6726216844,121.09697268573643,121.09697268573643,1.6414101359356141,0.7921912960561458,0.656978821762442,53.91266897942423,1333.834574683714,5.45766669294897,0.4954939143038879,0.42676338967607724,Web/CloudOps,2,48,2048,7776,True,1500,1000,0
loop_seattle/5T/medium,TTM-R3-FT,71.22914765446659,71.22914765446659,4.756007800940443,4.756007800940443,0.7563046904299139,0.1530614869310542,0.10898143165987952,8.14353586256727,8.439736231332505,0.15016028291321915,0.08461917023844462,0.07034859077983134,Transport,1,480,2048,95520,True,1323,1000,0
