dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[mean],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates,horizon,ttm_context_len,available_context_len,finetune_success,finetune_train_num_samples,finetune_valid_num_samples,insample_error
loop_seattle/D/short,TTM-R3-PT,19.639305858409095,19.639305858409095,3.213117780675583,3.213117780675583,0.9629808046358901,0.05970620265878969,0.05909586913815917,7.259056762357715,4.431625645111407,0.07919907729515654,0.05742271208103591,0.04546204985222111,Transport,1,30,512,305,False,0,0,0
loop_seattle/H/short,TTM-R3-PT,57.195789075890254,57.195789075890254,4.004444903486239,4.004444903486239,0.8151167020182609,0.10742022494296025,0.09242247240985277,12.009422821834933,7.562789768061139,0.133869083674496,0.07088275441935762,0.06061955588885654,Transport,1,48,2048,7848,False,0,0,0
m_dense/H/short,TTM-R3-PT,47203.4866657042,47203.4866657042,88.93487219630016,88.93487219630016,0.7995016088470455,0.29585912867836944,0.21490209598708196,11.24131273712882,217.26363401569117,0.38537154811628005,0.15774830212651442,0.133872557820258,Transport,1,48,2048,16560,False,0,0,0
m_dense/D/short,TTM-R3-PT,9320.049516428518,9320.049516428518,50.16334060457018,50.16334060457018,0.7337675934096091,0.13046787254674674,0.10656029735987735,7.843120747501755,96.54040354394898,0.16712571873088408,0.0868401627165811,0.07156632155450207,Transport,1,30,768,640,False,0,0,0
loop_seattle/5T/short,TTM-R3-PT,39.585202961495085,39.585202961495085,3.3895353053995363,3.3895353053995363,0.53756735504369,0.0920203696709051,0.07212151904863405,5.728479679531449,6.29167727728426,0.1078883647274627,0.05812304178503635,0.048110961065833055,Transport,1,48,2048,104160,False,0,0,0
m_dense/H/medium,TTM-R3-PT,37432.74296129729,37432.74296129729,82.0385908181303,82.0385908181303,0.7040475631031022,0.26826205693918725,0.20356249126639508,8.354083756428635,193.47543244892177,0.3366228094373736,0.1427367835488513,0.11901947323437183,Transport,1,480,2048,15600,False,0,0,0
loop_seattle/H/medium,TTM-R3-PT,68.65642080134998,68.65642080134998,4.616065614024644,4.616065614024644,0.9443554396197136,0.12182120314591152,0.10563710723484175,10.63939494016537,8.285917016320521,0.14645263921826632,0.0815884338024422,0.0682209292797526,Transport,1,480,2048,7800,False,0,0,0
m_dense/H/long,TTM-R3-PT,36353.2851303773,36353.2851303773,82.99024815844164,82.99024815844164,0.710854878085798,0.26449155892410725,0.20377504496677684,8.197081028475877,190.66537475477108,0.330069949168081,0.14366838775176097,0.12001729370471888,Transport,1,720,2048,15360,False,0,0,0
loop_seattle/H/long,TTM-R3-PT,61.381325749472076,61.381325749472076,4.316135581551773,4.316135581551773,0.900383805700609,0.12666737029993608,0.10045538677039303,10.231751750978253,7.834623523148517,0.14001521142820622,0.07713512132627837,0.064596587294536,Transport,1,720,2048,7320,False,0,0,0
sz_taxi/15T/short,TTM-R3-PT,16.655738371290727,16.655738371290727,2.7317436450968073,2.7317436450968073,0.5450539817954253,1067666875285.1517,0.39845705169586354,4.243601886242162,4.081144247792612,0.38160442554478113,0.25542970332073067,0.20289747817670423,Transport,1,48,2048,2640,False,0,0,0
sz_taxi/15T/medium,TTM-R3-PT,16.23480902266762,16.23480902266762,2.7501615260336276,2.7501615260336276,0.5356671791669638,9177426912998.387,0.40624021674686794,3.9811820724395575,4.029244224748311,0.3749884292569444,0.25594843432818987,0.20418936098334123,Transport,1,480,2048,2496,False,0,0,0
sz_taxi/15T/long,TTM-R3-PT,15.362864060835388,15.362864060835388,2.680545882506348,2.680545882506348,0.5058739675899704,5865521554479.059,0.3984406374491648,3.9664154203604203,3.919548961403007,0.3627864699074836,0.24810655198230336,0.1991791257556037,Transport,1,720,2048,2256,False,0,0,0
